B1	B2	B3
8951	2549	bhavasamudra
18276	5231	bhavasamudra
17075	4885	bhAvasaMzuddhi
17502	5011	bhAvasAra
8018	2295	bhAvasvabhAva
29350	8432	bhAvasvabhAva
32711	9402	bhAvataraMgiNI
6139	1743	bhAvataraMgiNI
4795	1357	bhAvataraMgiNI
6831	1950	bhAvavilAsa
31747	9136	bhAvaviveka
33435	9606	bhAvavRtta
8940	2544	bhAvayitavya
24004	6852	bhAvicakravartin
6027	1710	bhAvin
32286	9283	bhaviSyad
13376	3824	bhaviSyadvAdin
14480	4138	bhaviSyattA
25814	7392	bhaviSyattva
10957	3125	bhaviSyottara
28918	8307	bhaviSyottarapurANa
20288	5805	bhavIyas
6731	1917	bhavya
8880	2525	bhavyamanas
14092	4029	bhAvyaratha
7497	2140	bhayabhraSTa
30203	8690	bhayabhraSTa
2908	819	bhayajAta
17228	4926	bhayaMkartR
5748	1627	bhayAnaka
5705	1619	bhayanAzinI
18809	5388	bhayaprada
28954	8316	bhayaprastAva
33991	9776	bhayArta
13714	3921	bhayAtIsAra
33355	9586	bhayavidhAyin
7826	2248	bhayavyUha
7760	2226	bhayya
10707	3057	bheDa
31651	9103	bhedAbhedavAdin
33043	9501	bhedadhikkAranyakkArahuMkRti
33811	9720	bhedadhikkAranyakkArahuMkRti
5304	1508	bhedadhikkRtitattvanivecana
24741	7074	bhedakArin
25072	7177	bhedakhaNDana
27451	7880	bhedakRt
31685	9116	bheDasaMhitA
8158	2330	bhedavAdin
21556	6160	bhedin
30849	8879	bhekaparNI
18842	5397	bhekI
3692	1049	bhelana
26340	7549	bheNDI
4758	1347	bherI
28813	8278	bherIbhramaka
19999	5721	bherIsvanamahAsvanA
1336	362	bheSajakalpasArasaMgraha
11314	3224	bheSajasarvasva
16578	4744	bheSajatA
18420	5276	bhettavai
27602	7922	bhI
1419	390	bhidi
13868	3968	bhidu
4325	1219	bhidurasvana
29216	8391	bhidurasvana
13981	3996	bhIkara
8100	2317	bhikSAcaraNa
24139	6895	bhikSATana
20259	5799	bhikSATananATaka
16303	4672	bhikSotkara
15225	4352	bhikSotkara
22798	6512	bhikSusaMgha
31525	9070	bhikSusUtra
7260	2073	bhikSutattva
26279	7533	bhillagavI
30417	8750	bhillin
32992	9486	bhillin
25811	7391	bhilloTa
10245	2915	bhIma
8853	2518	bhImabhaTTa
31303	9007	bhImabhaTTa
28718	8249	bhImadarzana
15458	4428	bhImadvAdazIvrata
713	194	bhImagava
9227	2621	bhImagrAhavat
17889	5120	bhImakarman
25949	7434	bhImakhaNDa
23279	6652	bhImaputrikA
9334	2650	bhImarikA
26018	7460	bhImasiMha
16245	4653	bhImayu
10724	3061	bhImezvaratIrtha
13498	3862	bhiNDaka
7974	2284	bhiNDimAla
30288	8712	bhiNDItaka
17861	5111	bhinnadeha
12904	3682	bhinnajAti
10016	2846	bhinnakAla
24306	6940	bhinnakalpa
11291	3217	bhinnakarIndrakumbhamuktAmaya
10762	3071	bhinnakarNa
25803	7389	bhinnamastakapiNDika
18765	5372	bhinnanau
15068	4310	bhinnanauka
12369	3532	bhinnaprakAra
7223	2065	bhinnatantra
5233	1484	bhinnavarcas
19016	5442	bhIra
13929	3984	bhiriNTikA
19740	5646	bhIrujana
2741	774	bhIrurandhra
23976	6844	bhIruSThAna
10305	2933	bhiSagbhadrA
13103	3739	bhiSagjita
18064	5168	bhiSajAvarta
17030	4872	bhISaka
7336	2095	bhiSakcakranidAna
31751	9137	bhiSakcakranidAna
5050	1431	bhiSakcakranidAna
2891	815	bhiSaktva
34320	9870	bhISaNaka
17676	5062	bhISidAsa
29018	8333	bhISmagarjitaghoSasvararAja
29632	8515	bhISmaka
5157	1461	bhISmapaJcaka
7348	2098	bhISmaratnaparikSA
23602	6743	bhissA
25065	7176	bhItam
9986	2836	bhItavat
6727	1916	bhiyasAna
9113	2592	bhlAz
23806	6802	bhobhavatpUrvakam
17450	4996	bhoga
29381	8442	bhogabhRtaka
28577	8206	bhogabhUmi
18998	5437	bhogAdhi
6302	1792	bhogalAbha
28070	8058	bhogasena
18953	5425	bhogatva
5209	1477	bhogatva
22398	6404	bhogavardhana
21086	6031	bhogavardhana
20923	5990	bhogezvaratIrtha
16522	4730	bhogezvaratIrtha
31379	9026	bhogIndra
4283	1210	bhogIndratanaya
21699	6202	bhogIndratanaya
27029	7758	bhogya
1606	446	bhogyArha
24570	7023	bhogyatva
27733	7962	bhoj
4966	1403	bhojA
12994	3707	bhojA
23035	6580	bhojacaritra
6779	1934	bhojAdhipa
28685	8239	bhojanAdhikAra
12383	3535	bhojanakAla
14984	4286	bhojanasamaya
5808	1643	bhojanavelA
26993	7747	bhojanavidhi
27191	7809	bhojanavyaya
6986	1993	bhojanavyaya
1123	304	bhojapati
23195	6623	bhojaputrI
3349	947	bhojarAjaprabandha
23233	6634	bhojarAjasaccarita
21972	6278	bhojin
11372	3241	bhoktRtva
30999	8923	bhoTAnta
5495	1565	bhrabhaGga
7981	2287	bhrAj
19736	5644	bhraja
17371	4971	bhrAjabhRSTi
17342	4961	bhrAjajjanman
17773	5091	bhrAjathumat
33549	9639	bhrAji
14546	4157	bhrAjiSNutA
23119	6606	bhrajj
22521	6439	bhrakS
22254	6364	bhrakS
10339	2942	bhrAmaNa
34423	9898	bhrAmaNI
31476	9055	bhramaraka
11382	3243	bhramarakuNDa
24750	7076	bhramaramArI
30733	8848	bhramaranikara
32104	9235	bhramarAtithi
31454	9049	bhramareSTA
14822	4237	bhramarI
15100	4319	bhramarikAdRSTi
21671	6192	bhramarotsavA
17456	4998	bhrami
24464	6992	bhraMzin
9578	2717	bhrAntacitta
15672	4492	bhrAntacitta
30177	8682	bhrAntAkulitacetana
27367	7858	bhrAntinAzana
12083	3451	bhrAntinAzana
26358	7554	bhraSTanidra
25059	7175	bhrASTrakRt
33775	9709	bhrASTravratin
19217	5501	bhrASTravratin
32066	9225	bhrAtRdatta
16754	4793	bhrAtRdvitIyA
12974	3702	bhrAtRvyahan
23703	6773	bhrAtRvyaparANutti
10594	3022	bhrAtRvyayajJa
8729	2485	bhrauveya
5034	1426	bhraz
32347	9303	bhrAzya
15994	4585	bhrAzya
944	255	bhRgamAtrika
25607	7331	bhRgavANa
11118	3175	bhRGga
3537	1006	bhRGgamUlikA
31990	9205	bhRGgAnandA
15696	4498	bhRGgapriyA
22031	6295	bhRGgiriTa
18459	5289	bhRGgIza
2541	717	bhRgubhavA
3432	970	bhRgugItA
28771	8269	bhRgukSetramAhAtmya
32361	9307	bhRgUlApati
19523	5582	bhRgvandIya
16	4	bhrI
30701	8839	bhRjj
23594	6740	bhRkuMsaka
3564	1013	bhRkuTidhara
22127	6324	bhRma
34322	9871	bhRmyazva
21426	6122	bhRMz
727	198	bhRSTayava
28822	8280	bhRSTi
8385	2398	bhRtAdhyApana
5283	1499	bhRtikarmakara
21719	6209	bhRtirUpa
26240	7522	bhRtra
29910	8604	bhRtyabhAva
22723	6493	bhRtyadhyApana
6230	1767	bhRtyavarga
10873	3102	bhRtyavAtsalya
24654	7046	bhRtyIbhU
19729	5643	bhRtyIbhU
22747	6500	bhru
32403	9318	bhrubhaGga
24905	7124	bhrukuMsa
29398	8447	bhrUkuTIkuTilAnana
11046	3152	bhrUkuTImukha
27344	7851	bhrUmadhya
17280	4943	bhrUNabhid
10452	2976	bhrUNahati
11521	3282	bhrUsaMgataka
21840	6243	bhruva
689	184	bhrUvikSepam
18582	5321	bhrUvikSepam
26280	7533	bhRza
11660	3320	bhRzadAruNa
17424	4989	bhRzatA
20705	5925	bhRzavedanA
16766	4796	bhUbhaTTa
28038	8050	bhUbhramavAdakhaNDananirAsa
5799	1640	bhUcakra
4500	1269	bhUchAya
25425	7278	bhuDDa
27459	7882	bhUdharatA
4071	1145	bhUdina
12585	3595	bhUdina
30491	8774	bhUgarbha
12052	3444	bhUgeha
984	266	bhUgolaka
23818	6805	bhUgolaka
31342	9017	bhUgolavyavasthAtantroktA
23874	6816	bhuja
13061	3726	bhujabalabhIma
10890	3106	bhujagabhojin
22900	6541	bhujagAntaka
22215	6352	bhujagapati
19624	5614	bhujagapuSpa
22811	6514	bhujagAtmajA
11604	3301	bhujagAzana
21456	6130	bhujAkaNTa
20948	5995	bhujalatA
8048	2304	bhUjambU
28398	8155	bhUjambU
26361	7556	bhUjambu
31363	9023	bhujaMgabhojin
4448	1254	bhujaMgaghAtinI
1394	381	bhujaMgahan
556	147	bhujaMgajihvA
1596	442	bhujaMgaprayAta
6532	1858	bhujaMgaprayAtASTaka
21384	6113	bhujaMgikA
31794	9149	bhujAmUla
4537	1280	bhujanagara
2523	710	bhujanagara
11653	3318	bhujapratibhuja
31595	9088	bhujasaMzraya
20294	5808	bhujavIrya
21513	6148	bhujiSyA
22917	6545	bhujiSya
31296	9005	bhUka
2249	632	bhUkala
12335	3523	bhUkarNa
5069	1436	bhukka
21275	6082	bhuktAsava
23341	6669	bhuktazeSa
74	19	bhuktimatI
26208	7512	bhuktivarjita
11667	3323	bhuktvA
16670	4771	bhUliGga
27045	7763	bhUmicampaka
23029	6579	bhUmida
24229	6920	bhUmigarbha
4837	1368	bhUmigocara
18965	5428	bhUmijambukA
24506	7003	bhUmijambukA
9250	2628	bhUmijIvin
16396	4695	bhUmijoSaNa
7124	2038	bhUmikA
11440	3260	bhUmikharjUrikA
12458	3558	bhUminanda
6902	1970	bhUmipa
479	124	bhUmiparidRMhaNa
32833	9443	bhUmIpati
6238	1769	bhUmipracala
2593	732	bhUmIsaha
15285	4371	bhUmisaMniveza
17551	5024	bhUmisAmrAjya
6077	1725	bhUmisattra
28639	8224	bhUmiSTha
7804	2241	bhUmitala
33485	9621	bhUmitraya
12061	3447	bhUmivalli
2750	777	bhUmizayana
25481	7294	bhUmizayana
22252	6363	bhUmIzvara
12024	3436	bhUmyAmalakI
8961	2551	bhUmyanantara
34251	9853	bhUnIlApaJcasUkta
5769	1632	bhUnIpa
20066	5741	bhUpadI
33903	9751	bhUpAlabhUSaNa
33808	9719	bhUpAlavallabha
32166	9252	bhUpAlI
34539	9927	bhUphala
31694	9117	bhUphala
20490	5865	bhUphala
9691	2753	bhUpratimAdAna
30775	8858	bhUratna
4643	1314	bhUribhAra
27280	7833	bhUribhaTTa
27992	8039	bhUrida
30601	8807	bhUridakSiNam
8769	2493	bhUridAtra
16497	4723	bhUridAtra
23009	6573	bhUridAvan
13702	3917	bhUridAvattara
5037	1427	bhUridhAyas
31671	9112	bhUridugdhA
11303	3221	bhurij
3920	1109	bhUrijyeSTha
32454	9333	bhUrilagnA
6279	1784	bhUrimAya
15466	4431	bhUriprayogagaNadhAtuTIkA
30328	8724	bhUristhAtra
23400	6687	bhUrivikrama
9032	2570	bhUriviyoga
8170	2333	bhUS
6530	1857	bhUSaNadeva
33733	9697	bhUSaNadeva
26139	7492	bhUSAya
2937	831	bhUSNu
407	105	bhUsphoTa
4511	1274	bhUstha
30498	8776	bhusukha
24829	7102	bhusura
3520	1000	bhUtabhavyeza
5046	1429	bhUtacintA
613	163	bhUtacintA
29148	8372	bhUtadayA
27768	7975	bhUtadharA
16021	4592	bhUtagRhya
18304	5238	bhUtajaTA
7523	2150	bhUtajaya
23706	6773	bhUtakAla
18695	5351	bhUtakartR
15119	4325	bhUtakartR
15293	4374	bhUtalastha
7076	2022	bhUtalonmathana
15342	4392	bhUtamaya
14656	4187	bhUtanAtha
22008	6288	bhUtAri
25196	7216	bhUtArma
20599	5896	bhUtArthavyAhRti
13189	3765	bhUtasaMsAra
16022	4592	bhUtAtman
6529	1857	bhUtaveSI
27222	7818	bhUtavIra
32644	9385	bhUtaviSNu
29240	8398	bhUtayajJa
24780	7085	bhUtAyana
30167	8678	bhUtejya
25885	7414	bhUti
11247	3207	bhUtimitra
24051	6868	bhUtisita
28433	8164	bhUtisRj
25395	7271	bhuTTezvara
18035	5158	bhUtyartham
1944	547	bhUvah
11057	3155	bhuvanabhAvana
9739	2766	bhuvanacarita
6984	1992	bhuvanajJAna
34376	9884	bhuvanamAtR
27125	7789	bhuvanapAla
4151	1167	bhuvanapAla
520	138	bhuvanapratiSThAdAnavidhi
13811	3950	bhuvanatala
29349	8432	bhuvanavinyAsa
32803	9433	bhuvaneza
4086	1148	bhuvanezvara
25250	7237	bhuvanezvarIpaJcAGga
9507	2699	bhuvanezvarIpUjAyantra
16144	4626	bhuvanezvarIzAntiprayoga
5482	1560	bhuvanezvarIzAntiprayoga
22701	6487	bhUyastarAm
3612	1026	bhUyo
10466	2981	bhUyonAgamana
32554	9360	bhuyya
659	176	bhUzayyA
12489	3567	bhUzelu
1920	541	bhUzvabhra
12915	3684	bhva
6894	1969	bibhakSayiSu
10185	2897	bibhISikA
29819	8569	bibhradvAja
3690	1048	bibhradvAja
22029	6295	bibhrat
17288	4945	bibibAbhavat
10029	2848	bibodhayiSu
27653	7939	bida
24505	7003	biDAlA
3398	961	bidAlaka
28959	8317	bidalasaMhita
21889	6256	biDAlavratika
20520	5873	bidApuTa
9403	2671	bidApuTa
22490	6431	bidura
16506	4726	bIjADhya
32370	9309	bIjAdhyakSa
29709	8539	bIjagarbha
27406	7869	bIjAGkura
27414	7871	bIjakozI
31781	9145	bIjAkSara
14279	4084	bIjala
20435	5848	bIjamAtra
8342	2388	bIjAmla
11413	3252	bIjamuSTi
18671	5342	bIjanirvApaNa
23646	6758	bIjapAdapa
32012	9211	bIjApahAriNI
25861	7407	bIjaruha
7259	2073	bIjasaMcaya
10772	3075	bIjasaMhRtimat
14700	4200	bIjasektR
20335	5821	bIjatas
12868	3672	bIjavApa
23580	6735	bIjavApagRhya
18739	5365	bIjazeSamAtra
18422	5276	bIjin
10135	2879	bIjin
23189	6622	bil
9531	2704	bilAsin
12119	3464	bilasvarga
10120	2874	bilazaya
9720	2760	bilezaya
26672	7652	bilezaya
32302	9289	biliza
31487	9060	billa
21642	6184	billa
2066	579	billasU
7637	2188	billasU
18043	5161	bilvakIyA
31888	9176	bilvamadhya
27295	7837	bilvapANDara
23282	6654	bilvapattramaya
30514	8781	bilvAraNyamAhAtmya
14479	4138	bilvavana
34747	9996	bimbA
22513	6436	bimbaphalAdharoSTha
20253	5797	bimbatattvaprakAzikA
25314	7252	bimbezvara
1763	491	bimbI
8724	2482	bimbI
15621	4477	bimbu
21498	6143	bind
30986	8919	bindubheda
21315	6093	bindumAdhava
23232	6634	bindurekhA
5415	1539	bindusaMgraha
34568	9937	bindusaras
6768	1930	bindutIrthamAhAtmya
2951	835	bIriNa
4633	1309	biSa
20584	5891	bisAkara
10584	3019	bisakhA
34566	9937	bisila
31924	9186	bITaka
34675	9975	bodhaghanAcArya
24659	7047	bodhanamantra
31568	9081	bodhasAra
25134	7196	bodhavatI
29229	8395	bodhAyana
286	75	bodhAyana
17457	4999	bodhendra
25577	7321	bodheya
585	156	bodhi
7320	2087	bodhi
5716	1621	bodhidharma
12552	3586	bodhimaNDa
20337	5821	bodhipariniSpatti
2254	633	bodhisattvasaMcodiNI
15041	4301	bodhita
14438	4127	bodhitavya
26376	7559	bodhyaGgavatI
13572	3883	bradhnaloka
15904	4562	brahmabandhu
8149	2328	brahmabandhutA
31096	8956	brahmabhadrA
4600	1301	brahmabhraSTa
14625	4177	brahmabhUta
6543	1861	brahmacaitanyayati
17405	4981	brahmacakra
19688	5632	brahmacAriNI
29542	8488	brahmacAriNI
5287	1501	brahmacArivAsin
12349	3527	brahmacaryavrata
8418	2405	brahmAdanI
1384	377	brahmAdijAtA
23949	6838	brahmAGgabhU
32999	9487	brahmagItA
16830	4812	brahmagranthi
33624	9664	brAhmaguptIya
13851	3962	brahmajajJa
4471	1261	brahmajaTin
31317	9011	brahmajAyA
33749	9702	brahmajJAna
199	54	brahmakalA
28422	8161	brahmakanyakA
33228	9554	brahmakanyaka
15699	4499	brahmakAraNavAda
11883	3390	brahmakozI
17187	4915	brahmakRti
9068	2581	brahmakUrca
20078	5745	brahmakUTa
23074	6593	brahmaloka
13866	3967	brahmaloka
33927	9759	brahmamekhala
13952	3990	brahmAmRta
25855	7405	brAhmaNAbhASaNa
23402	6687	brAhmaNabhAva
30099	8660	brAhmaNacANDAla
10748	3067	brAhmaNacANDAla
9930	2819	brAhmaNAcchaMsizastra
20061	5739	brAhmaNadArikA
26384	7561	brahmAnandavilAsa
25617	7334	brahmAnandayogin
16457	4711	brAhmaNaprAtivezya
21448	6128	brAhmaNaputraka
28251	8113	brahmaNaspati
529	140	brahmaNaspatisUkta
26433	7576	brAhmaNatarpaNa
25994	7452	brAhmaNAtmaka
9094	2587	brAhmaNatva
21847	6244	brAhmaNatvavicAra
2120	597	brAhmaNayoni
19420	5554	brahmANDabhANDodara
31565	9081	brahmANDapurANa
7099	2030	brahmANDatantra
3846	1089	brAhmaNIgAmin
2606	736	brAhmaNikalpA
4021	1133	brahmANImantra
7225	2065	brahmANImantra
23021	6577	brAhmaNitarA
3329	941	brahmaNvat
19122	5475	brahmaNyatIrtha
6498	1849	brahmapada
16639	4763	brahmapAdastotra
4120	1159	brAhmaparvan
2976	840	brAhmapiGgA
7740	2220	brahmaprApti
7627	2185	brahmapurAkhya
30551	8792	brahmaputra
17046	4876	brahmaputrI
17007	4866	brahmarakSas
8982	2557	brahmarAkSasI
5822	1646	brahmarasa
4723	1337	brahmarasAsava
32452	9333	brahmarekhA
11886	3391	brahmarIti
21771	6222	brahmarUpiNI
11148	3182	brahmasaMsad
20413	5842	brahmAsananiviSTa
13598	3890	brahmAsandI
2638	746	brahmasAtkRta
32685	9396	brahmasiddhAntapaddhati
10421	2967	brahmasiddhi
1276	343	brahmastena
31189	8978	brahmasteya
13186	3765	brahmAstravidhAnapaddhati
3071	869	brahmAstravidyApUjApaddhati
21678	6194	brahmasUtrabhASya
31028	8932	brahmasUtrAnuvyAkhyAna
12215	3492	brahmatA
20936	5993	brahmatas
7877	2260	brahmatejas
13502	3863	brahmatejomaya
1370	373	brahmatulya
24430	6981	brahmatva
32397	9316	brahmatvac
6060	1720	brahmaudana
8167	2332	brahmaupagava
18889	5409	brahmavAc
8354	2392	brahmavAhas
12782	3648	brahmavAhas
3862	1094	brahmavallIlipi
33804	9718	brahmavarcasakAma
1559	433	brahmavardhana
23911	6826	brahmavarman
20575	5890	brahmavarta
15984	4580	brahmavarta
11113	3172	brahmAvatI
19188	5492	brahmavedi
11744	3348	brahmavidyApaddhati
9963	2829	brahmavINA
11239	3205	brahmavrata
4088	1149	brahmavRddha
5387	1533	brahmavRndA
1186	320	brahmayajJatarpaNa
27802	7985	brahmayajJopaniSad
29635	8515	brahmayAtu
31726	9127	brahmayoni
28218	8105	brahmazabda
11622	3308	brahmazabda
31422	9039	brahmazalya
5145	1457	brahmazAyin
12104	3459	brahmezavaiSNava
28201	8100	brAhmikA
7241	2069	brahmodumbara
8392	2400	brahmodya
22739	6498	brahmojjhatva
17420	4988	brahmopaniSad
20465	5856	brahmottarakhaNDa
33105	9519	bRhac
17194	4916	bRhac
17962	5137	bRhaccANakya
17677	5062	bRhacchandas
18607	5327	bRhacchuka
16492	4722	bRhacchuka
19068	5458	bRhadagnimukha
26061	7471	bRhadamarakoza
23308	6659	bRhadambAzataka
2706	765	bRhadambAzataka
25893	7417	bRhadanIka
21243	6075	bRhadanIka
2344	656	bRhadAraNyakavArttikasAra
7538	2156	bRhadAraNyakavyAkhyA
26979	7744	bRhadaSTavarga
30232	8696	bRhadbhAnu
7625	2184	bRhadbhAnu
21894	6257	bRhadbrahmasaMhitA
33436	9606	bRhaddala
21251	6077	bRhaddhala
27121	7789	bRhaddharman
29239	8398	bRhaddhvaja
12783	3648	bRhaddivA
16133	4622	bRhaddiva
18776	5377	bRhadgrAvan
30846	8878	bRhadguha
20025	5727	bRhadrAvin
12342	3525	bRhadukSan
32893	9461	bRhadukSan
34429	9900	bRhadvat
30571	8799	bRhadvrata
28621	8218	bRhajjaghana
22823	6518	bRhannaDa
15355	4395	bRhannaDa
27144	7794	bRhannAradIyapurANa
7273	2076	bRhannArAyaNa
3557	1011	bRhannArAyaNopaniSad
22905	6543	bRhannIlatantra
3264	922	bRhanniveza
15035	4299	bRhaspatipraNutta
3780	1073	bRhaspatipurohita
990	267	bRhaspatitantra
9677	2749	bRhaspatiya
1185	320	bRhaspatizAntikarman
9854	2801	bRhaT
11336	3231	bRhatIdvaya
11481	3271	bRhatIka
23869	6815	bRhatISaSThI
11786	3360	bRhatka
7465	2132	bRhatkAlajJAna
22640	6468	bRhatkarman
23327	6665	bRhatkathAmaJjarI
20999	6008	bRhatkozAtakI
24581	7027	bRhatkSatra
17137	4902	bRhatpAda
25734	7370	bRhatpArevata
10368	2954	bRhatparvamAlA
15807	4532	bRhatpRSTha
12891	3677	bRhattantrapati
14465	4133	bRhattiktA
21411	6119	bRMhaNa
30864	8883	bRMhaNa
16769	4797	bRMhayitavya
20834	5966	bRsaya
31848	9164	bruD
2064	578	bruD
3485	988	bruva
18856	5401	bUbazarman
25924	7426	bubhUrSA
251	68	bubhUrSA
25318	7252	budbuda
16294	4669	buddhabhaTTa
21105	6037	buddhacaritra
24005	6852	buddhadvAdazIvrata
9856	2801	buddhajJAnazrI
11222	3201	buddhakapAlinI
28207	8101	buddhakapAlinI
17053	4879	buddhakSetra
24645	7044	buddhakSetraparizodhaka
13836	3958	buddhakSetravaralocana
2029	569	buddhapAlita
25638	7341	buddhapurANa
2388	669	buddharakSita
11039	3148	buddhatva
22104	6316	buddhavanagiri
17654	5056	buddhavat
6070	1722	buddhibhrama
24290	6934	buddhicchAyA
1403	385	buddhihInatva
18833	5395	buddhikRta
21812	6235	buddhimattva
26004	7454	buddhiprAgalbhI
6623	1886	buddhipUrvakam
11300	3221	buddhividhvaMsaka
11877	3389	buddhivivardhana
25709	7362	buddhivRddhi
2898	817	buddhiyogamaya
30005	8631	buddhizarIra
15530	4450	buddhizuddhi
18816	5389	buddhyavajJAna
28226	8106	budhacAra
30396	8743	budhadina
25306	7249	budhajana
5444	1550	budhakauzika
27982	8035	budhamanohara
17359	4967	budharatna
18839	5397	budhASTamIvrata
30953	8908	budhASTamIvratakAlanirNaya
24437	6983	budheya
3804	1078	budhniya
6965	1987	budhya
5446	1550	buka
21226	6069	buka
14842	4243	bukkAra
8014	2293	bulya
6989	1993	bust
18484	5295	bust
24245	6923	busta
20613	5900	cadira
5526	1575	cadira
19430	5557	cAGgerI
25257	7239	caGgerikA
30255	8703	caGkramamANa
7317	2087	caGkramamANa
30207	8690	caGkuNa
30850	8879	caGkura
9286	2639	cAhUANa
5231	1484	caikIrSita
16371	4689	caikitAneya
15654	4487	caikitAyana
4381	1236	caitanyabhairavI
14541	4157	caitanyacandrodaya
21882	6254	caitanyacaritra
32356	9305	caitanyadeva
6720	1915	caitasika
6654	1896	caitrakUTI
26105	7484	caitrasakha
22720	6492	caitraseni
26371	7558	caitravAhanI
11878	3389	caitrAyaNa
5685	1614	caJcA
11508	3277	caJcalataila
14126	4040	caJcUpuTa
23381	6679	caJcupuTa
20285	5804	caJcUpuTa
22577	6453	caJcusUci
9041	2573	caJcusUci
10431	2970	caJcusUcika
23796	6800	caJcusUcika
24268	6928	cAkacakya
29030	8336	cakitagati
18930	5418	cakkana
10696	3054	cakora
15079	4312	cakoranetra
23612	6746	cakra
31012	8928	cakracara
5519	1572	cakradantIbIja
4803	1359	cakradatta
15367	4399	cakradatta
33512	9628	cakradeva
26995	7748	cakradhArA
29152	8373	cakradRz
31393	9031	cakraguccha
3697	1051	cakrAhvA
2469	693	cakrAhvA
5816	1645	cakrAhvaya
32828	9442	cakraka
14816	4236	cakraka
14237	4072	cakraka
1026	277	cakrakAzraya
31160	8973	cakrAkRti
4123	1160	cakrala
18601	5326	cakralatAmra
13035	3717	cakralatAmra
20110	5754	cakramanda
21871	6252	cakramaTha
17317	4954	cakramaulin
6081	1727	cakrANa
18593	5324	cakranAbhi
10382	2957	cakranAbhi
7594	2173	cakranakha
28247	8112	cakranAman
1481	409	cakraNitamba
17558	5026	cakraNitamba
17922	5129	cakrapakSa
16816	4809	cakrapANin
7648	2191	cakrapANin
2975	840	cakraphala
2991	845	cakrasAhvaya
18452	5288	cakrasaMvara
16471	4715	cakrATa
20957	5997	cakravadgati
4636	1311	cAkravAka
5020	1420	cakravAkabandhu
20300	5809	cakravAkavatI
16207	4645	cakravAkavatI
387	99	cakravAkopakUjita
19596	5606	cakravAlayamaka
1936	545	cAkravarmaNa
8284	2369	cakravat
17552	5024	cAkrAyaNa
33662	9675	cakrIbhU
14602	4171	cAkrikatA
30877	8886	cAkriNa
22121	6322	cakriya
32184	9258	cakSuHpatha
9830	2796	cakSuHpIDA
33470	9616	cakSuHzravas
2098	591	cakSuHzrotra
14207	4066	cakSupIDana
33537	9634	cakSurgrahaNa
15755	4515	cakSurloka
33914	9754	cakSurmukha
18764	5372	cakSurvardhanikA
7265	2074	cAkSuSajJAna
1286	346	cakSuSpati
2332	653	cakSuSTva
4280	1210	cakSuSya
19228	5505	calA
13619	3896	calA
13413	3837	calad
16458	4712	calad
2486	699	caladaGgaka
28410	8158	cAlanI
32890	9460	calapuccha
16162	4630	calasvabhAva
5597	1594	calatsaTa
24305	6939	camara
22535	6443	cAmarA
12185	3483	cAmaragrAhiNI
19381	5545	cAmaragrAhiNI
14059	4020	cAmarapuSpa
19947	5705	cAmarapuSpa
12309	3518	cAmarasAhvaya
4362	1230	cAmarin
16397	4695	camat
28269	8118	camatkAranagara
13964	3992	camatkRta
4261	1202	camatkRti
21979	6281	camIkAra
25776	7382	cAmIkarAcala
23374	6677	campAdhipa
32593	9372	campakagandha
28464	8173	campakAraNya
5363	1526	campeza
26921	7725	camUcara
25561	7318	cAmuNDarAja
20444	5850	cAmuNDarAja
15049	4305	cAmuNDarAja
12796	3652	camUrunetrA
29153	8373	caN
29428	8456	caNa
6555	1867	cana
23181	6619	caNa
4951	1400	caNabhojin
27770	7975	caNakaloNI
8474	2417	cANakyamUlaka
4882	1383	caNapattrI
21084	6031	caNatva
674	181	canda
16206	4645	caNDabhujaMga
11601	3301	caNDadhAman
13921	3982	caNDAdityatIrtha
18272	5231	caNDAdityatIrtha
12887	3676	caNDaghaNTA
34463	9908	caNDaghaNTA
17503	5011	caNDagirika
4164	1170	caNDakarAya
34558	9932	cANDAlI
23732	6780	caNDamahAroSaNatantra
20426	5846	candana
8507	2428	cAndanagandhika
13506	3864	candanagaura
1499	415	candanaka
9758	2772	candanapura
32310	9292	candanAvatI
11594	3298	caNDavegA
29143	8369	caNDAzoka
20273	5801	caNDika
8675	2470	caNDikaghaNTa
33034	9498	caNDikAzataka
12518	3577	caNDIkusuma
8686	2472	caNDilA
6033	1712	caNDila
24702	7061	caNDiman
385	99	candira
17020	4869	caNDIstotra
10430	2970	caNDIvilAsa
24448	6985	caNDIzapurANa
9748	2768	candrabAhu
14172	4053	candrabhAgI
26699	7660	candrabhAgI
20051	5735	candrabhAnu
15055	4307	candracitra
15099	4319	candracUDa
16607	4754	candradUta
4596	1300	candradUta
30777	8858	candradyuti
22539	6444	candragarbha
22955	6557	candragolastha
31095	8956	candrAgra
5280	1498	candragrahaNa
30379	8739	candrakAlAnala
32122	9240	candrakavat
4361	1230	candrakin
17036	4873	candrakoza
8476	2417	candrakSAnta
10905	3110	candrakuNDa
21995	6286	candraloka
5525	1575	candramAsa
18129	5192	candramasA
22107	6317	candramauli
28151	8086	candrapAda
33120	9523	candrapaJcAGga
1086	296	candraparvata
33045	9502	candraprakAza
31740	9133	candraprakAza
23879	6818	candraprakAza
27804	7986	candrapramANa
12717	3632	candrapriya
34583	9944	candrarekhA
34309	9868	candrArkadIpa
30254	8702	candrArkadIpa
9112	2592	candrAspadA
34270	9858	candrasUri
25288	7246	candratAraka
32149	9248	candrAvaloka
15723	4506	candravaMza
12696	3628	candravaralocana
